id,proper,mag,absmag,dist,ra,dec,x,y,z
67088,Alkaid,1.85,-0.667,31.8674,13.792354000000001,49.313265,-18.529548000000002,-9.394541,24.164506
31601,Alhena,1.93,-0.696,33.5121,6.628528,16.399252,-5.2661620000000005,31.714389,9.461403
63405,Vindemiatrix,2.85,0.218,33.6022,13.036278,10.95915,-31.782664,-8.840494999999999,6.38806
45106,Miaplacidus,1.67,-1.032,34.6981,9.220041,-69.717208,-8.980711999999999,8.001552,-32.546535999999996
62925,Cor Caroli,2.89,0.157,35.1989,12.933807,38.31838,-26.795114,-6.684222999999999,21.824384
53905,Dubhe,1.81,-1.07,37.679,11.062155,61.75103299999999,-17.298704999999998,4.33488,33.191332
50440,Algieba,2.01,-0.9940000000000001,39.8883,10.332873,19.841489000000003,-34.002796999999994,15.860719,13.538739999999999
72380,Kochab,2.07,-0.948,40.1445,14.845104999999998,74.155505,-8.058164,-7.4297070000000005,38.619407
113603,Markab,2.49,-0.568,40.8831,23.079348,15.205264000000001,38.311434000000006,-9.417123,10.722722000000001
25364,Alnath,1.65,-1.4169999999999998,41.0509,5.438198000000001,28.60745,5.281578,35.6504,19.655456
80571,Kornephoros,2.78,-0.37,42.6621,16.503667999999998,21.489613000000002,-15.155860999999998,-36.689058,15.628429999999998
7574,Achernar,0.45,-2.705,42.7533,1.628556,-57.236757,21.065573,9.568417,-35.951966999999996
89906,Kaus Australis,1.79,-1.4240000000000002,43.9367,18.402867999999998,-34.384615999999994,3.817188,-36.057831,-24.812975
61166,Kraz,2.65,-0.6,44.6628,12.573121,-23.396759,-40.529889000000004,-6.127261,-17.73539
59621,Gienah Ghurab,2.58,-0.785,47.1032,12.263437,-17.541929,-44.805937,-3.0950580000000003,-14.197066
87561,Etamin,2.24,-1.1340000000000001,47.3037,17.943437,51.488895,-0.436154,-29.451034999999997,37.014357000000004
25542,Nihal,2.81,-0.648,49.1642,5.470756,-20.759441,6.349344,45.531613,-17.425966
13813,Acamar,2.88,-0.59,49.4315,2.9710229999999997,-40.304672,26.857490000000002,26.453028999999997,-31.974932
